name,calories,protein,carbohydrate,fat,vitaminc,ingredients
โจ๊กไข่ขาว,153,26.2,9.6,0.8,4.8,"egg, rice, ginger, spring onion, salt, soy sauce, muchroom"
ปลาซาบะย่าง,410,37.2,0,27.8,2,"mackerel, soy sauce, lemon, ginger"
ยำปลากระป๋อง,195,23,0.6,10.5,4.3594,"mackerel, lemongrass, shallot, chili, sugar, lime, fish sauce, coriander, basil"
น่องไก่ทอด,275,18.3,0.2,22.5,0.0594,"chicken, all-purpose, salt, pepper, oil, "
ต้มมะระผักกาดดอง,404,15.7,74.3,5.8,53,"bitter gourd, sour cabbage, garlic, coriander root, soy sauce, salt"
ผัดผักบุ้งกุ้งสด,138,27,6.3,0.5,92,"shrimp, kaffir lime leave, oil, lemongrass, garlic, shallot, galangal, salt, pepper, shrimp paste"
ข้าวผัดเนื้อปู,222,21.1,29,1.7,11.5,"rice, crab, coriander root, garlic, pepper, soy sauce, oyster sauce, sugar"
ไก่ย่างขมิ้น,189,23.4,6.1,7.4,2.972,"chicken, pepper, turmeric, salt, sugar, water"
พล่าทูน่า,104,18.2,10.1,0.2,47.6614,"tuna, lemongrass, shallot, chili, lime, fish sauce, sugar"
ผัดกระเพรากุ้งสด,138,27.6,6.3,0.9,43,"rice, basil, shrimp, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ถั่วลิสงผสมปลาอบกรอบ,180,7,9,12,0,"peanut, crispy fish"
ยำทูน่า,189,35.7,12.2,0.2,58.272,"tuna, lemongrass, shallot, culanttro, chili, lime, fish sauce, sugar"
ปลาทอดน้ำปลา,393,74.3,6.9,5.2,0.18,"fish, oyster sauce, sugar, oil, tomato, cucumber, cabbage"
ไข่ตุ๋น,72,6.3,0.4,4.8,0,"egg, fish sauce, spring onion"
สลัดผัก,88,1.3,3.6,8.1,39,"carrot, lettuce, corn, zucchini"
ผัดไก่,446,67,29.3,7,30,"chicken, fish saucue, oyster sauce, sugar, pepper, "
ส้มตำปลาร้า,70,1.6,15.6,0.2,147.2,"papaya, carrot, sting bean, fish sauce, sugar, lime, tomato, shrimp, penut, chili, garlic, pickled fish"
อกไก่พริกไทยดำ,79,16,0,1.6,2.5,"chicken, black pepper, salt"
เส้นหมี่ลูกชิ้นเนื้อน้ำตก,273,13.5,40.5,5.5,0,"vermicelli, beef, meat ball, kale, soy sauce, fish sauce, suar ,salt,  chili, basil,garlic, water"
ซาลาเปาไส้หมูแดง,261,9.7,38.4,7.1,0,"all-purpose flour, baking soda, sugar, white butter, pork, coriander root, garlic, oystter saucee, oil, pepper, sesame oil, salt, shallot"
สลัดแขก,192,7.4,32.6,3.7,7.6,"red curry paste, coconut milk, peanut, tamarind, sugar, fish sauce, tofu, tomato, onion, lettucee, cucumber, potato"
ต้มยำรวมมิตร,203,37.3,8.6,2.8,36.536,"shrimp, squid, pork, mushroom, lemon grass, kaffir lime leave, chili, coriander, spring onion,onion , galagal, salt, fish sauce, lemon juice, water, chili paste"
แกงเห็ด,206,15.3,35.5,3.7,60.18,"mushroom, fish sauce, chili, lemon, shallot, kaffir lemon leave, lemongrass"
ตำมะม่วง,223,9.8,38.6,4.9,182,"mango, sugar, lime, dried shrimp, peanut, long bean, chili, garlic"
ต้มยำรวมมิตรน้ำข้น,185,21.8,10.3,6.6,75.96945,"shrimp, squid, pork, mushroom, lemon grass, kaffir lime leave, chili, coriander, spring onion,onion , galagal, salt, fish sauce, lemon juice, water, chili paste, milk"
ไก่ตุ๋นเครื่องยาจีน,463,70,17.8,13,8,"chicken, mushroom, chinese herb, sugar, soy sauce, pepper, salt"
น้ำพริกน้ำปู,142,12.4,19.5,3.1,189.5395,"crab, coriander, chili, garlic, shrimp paste, fish sacuse, lime, cucamber, cabbage, long bean"
ห่อหมกกุ้ง,307,52.4,22.7,1.6,86.917,"shrimp, fish, cabbage, basil, kaffir lime leave, red curry, coconut milk, egg, all-purpose flour"
ต้มผักกาด,734,64.7,28.2,38.2,3,"oil, pork, garlic, pepper, water, salt, cabbage, sugar, soy sauce"
กระเพาะปลา,320,18.8,38.6,10.4,0,"chicken, dried fish maw, egg, chicken blood, mushroom, ginger, coriander root, pepper, corn flour, coriander, oyster sauce, soy sauce"
,83,7.3,1.8,5.2,0,"chicken, dried fish maw, egg, chicken blood, mushroom, ginger, coriander root, pepper, corn flour, coriander, oyster sauce, soy sauce"
มะเขือเทศผัดไข่,208,10.8,19.6,10.1,82.5,"spring onion, oil, garlic, ginger, egg, salt, tomato, sugar"
